Date,PM2.5,PM10,NO2,SO2,O3_8hr_max,CO_8hr_max,CO_24hr_mean,PM2.5_hrs_interpolated,PM10_hrs_interpolated,O3_hrs_interpolated,SO2_hrs_interpolated,NO2_hrs_interpolated,CO_hrs_interpolated
2023-10-01,252.97916666666666,314.7326388888889,43.48506944444444,19.096180555555556,99.09375,2.7346875,1.7996527777777775,0,0,0,0,0,0
2023-10-02,,,,,10.928125,,,13,13,14,14,14,15
2023-10-03,48.4375,85.23958333333333,35.942708333333336,21.524652777777778,99.284375,0.0,,0,0,0,0,0,15
2023-10-04,55.833333333333336,99.9375,42.51770833333333,26.735144927536236,103.7375,2.4316666666666666,1.5756249999999998,0,0,7,1,0,0
2023-10-05,45.322916666666664,88.15972222222223,35.658680555555556,23.688043478260873,150.54062499999998,2.707291666666667,1.335486111111111,0,0,1,1,0,0
2023-10-06,20.625,81.80208333333333,7.767013888888889,24.488541666666663,70.459375,1.6786458333333334,0.7481597222222223,0,0,0,0,0,0
2023-10-07,4.984375,9.056818181818182,5.2548611111111105,18.79722222222222,30.90416666666667,0.7359375,0.5745486111111111,8,2,1,0,0,0
2023-10-08,32.125,69.8298611111111,6.098611111111111,30.12465277777778,60.3625,1.5529166666666667,0.8964930555555556,0,0,0,0,0,0
2023-10-09,14.927083333333334,26.798611111111114,6.484722222222222,18.600347222222222,51.909375,1.4685416666666669,0.5695833333333333,0,0,0,0,0,0
2023-10-10,25.552083333333332,86.82986111111113,2.919791666666667,23.037152777777777,63.696875,0.753125,0.7044444444444444,0,0,0,0,0,0
2023-10-11,122.94791666666667,174.52083333333334,2.748958333333333,23.225694444444443,58.61875,0.868125,0.7096180555555556,0,0,0,0,0,0
2023-10-12,87.425,159.77083333333334,28.20069444444444,8.080208333333333,53.54375,0.5938541666666667,0.42381944444444447,4,4,0,0,0,0
2023-10-13,46.40625,132.03125,2.857291666666667,22.217361111111114,67.553125,0.7809375000000001,0.6797916666666666,0,0,1,0,0,0
2023-10-14,36.885416666666664,110.15277777777779,2.859375,20.541666666666668,65.14999999999999,0.6759375,0.62875,0,0,0,0,0,0
2023-10-15,44.4375,114.48611111111113,2.836458333333333,24.31423611111111,62.059374999999996,0.77375,0.7435416666666667,0,0,0,0,0,0
2023-10-16,41.645833333333336,110.28819444444446,2.8489583333333335,22.891666666666666,55.865625,0.7603125000000001,0.7004861111111111,0,0,0,0,0,0
2023-10-17,21.416666666666668,58.79513888888889,2.8364583333333333,25.000694444444445,62.259375,0.818125,0.7644444444444444,0,0,0,0,0,0
2023-10-18,56.135416666666664,118.75347222222221,2.8874999999999997,27.627430555555552,44.446875000000006,1.0904166666666666,0.8452777777777779,0,0,2,0,0,0
2023-10-19,66.86458333333333,144.38888888888889,2.790625,23.959027777777777,42.375,1.0454166666666667,0.7316319444444445,0,0,0,0,0,0
2023-10-20,76.41666666666667,159.59375,2.805208333333333,32.32673611111111,57.806250000000006,1.05,0.9886805555555557,0,0,0,0,0,0
2023-10-21,67.72916666666667,148.44791666666666,2.765625,28.41944444444444,77.61250000000001,0.9676041666666666,0.8690625000000001,0,0,0,0,0,0
2023-10-22,75.5,153.51388888888889,2.828125,28.447569444444444,91.609375,0.9240625,0.8709722222222224,0,0,0,0,0,0
2023-10-23,102.85416666666667,189.70833333333334,2.8302083333333337,19.882986111111112,93.596875,0.8441666666666667,0.6073611111111111,0,0,1,0,0,0
2023-10-24,103.07291666666667,193.90972222222226,2.8354166666666667,22.540625000000002,99.13125,0.734375,0.689861111111111,0,0,1,0,0,0
2023-10-25,89.53125,173.2013888888889,2.8145833333333328,20.989930555555556,99.690625,0.688125,0.6421180555555556,0,0,1,0,0,0
2023-10-26,95.125,158.88194444444443,2.84375,27.045833333333334,55.553125,0.8859375,0.827013888888889,0,0,0,0,0,0
2023-10-27,77.33333333333333,136.42013888888889,2.8250000000000006,25.1375,52.38125,0.8310416666666667,0.7684722222222223,0,0,0,0,0,0
2023-10-28,91.39583333333333,148.63194444444446,2.834375,22.58645833333333,54.5,0.7935416666666666,0.6911805555555556,0,0,0,0,0,0
2023-10-29,92.34375,151.88888888888889,2.842708333333333,26.792013888888885,54.434375,0.855625,0.8195833333333334,0,0,0,0,0,0
2023-10-30,83.30208333333333,141.60069444444443,2.8406249999999997,26.355902777777775,58.1,0.8975000000000001,0.8062152777777777,0,0,0,0,0,0
2023-10-31,85.58333333333333,150.31944444444443,2.8874999999999997,23.73194444444444,52.003125,0.8177083333333334,0.7261458333333334,0,0,0,0,0,0
2023-11-01,208.88541666666666,250.8715277777778,29.570833333333336,16.378472222222225,87.83125,1.5577083333333333,1.1194097222222223,0,0,0,0,0,0
2023-11-02,51.020833333333336,160.77430555555557,32.82256944444445,25.105208333333334,48.8125,1.7697916666666667,,0,0,0,0,0,12
2023-11-03,61.65625,106.24305555555554,35.22777777777778,24.561805555555555,107.91250000000001,0.0,0.0,0,0,0,0,0,0
2023-11-04,52.979166666666664,96.30902777777777,44.224999999999994,25.66736111111111,106.50312500000001,2.146145833333333,1.31125,0,0,3,0,0,0
2023-11-05,36.510416666666664,72.7673611111111,24.93298611111111,22.055797101449276,115.66874999999999,2.4743749999999998,1.1992361111111112,0,0,1,1,0,0
2023-11-06,21.041666666666668,83.38888888888889,11.099652777777777,19.491319444444446,80.565625,1.3101041666666666,0.5963194444444445,0,0,0,0,0,0
2023-11-07,9.791666666666666,17.63768115942029,5.766666666666667,19.289236111111112,27.262500000000003,0.6503125,0.5894097222222222,0,1,3,0,0,0
2023-11-08,30.072916666666668,65.20833333333333,6.465277777777778,27.97673611111111,48.059375,0.8843749999999999,0.8543402777777778,0,0,0,0,0,0
2023-11-09,,28.465277777777782,7.315625,18.403125,71.4125,0.8447916666666666,0.5630208333333333,9,0,0,0,0,0
2023-11-10,45.416666666666664,134.83333333333334,2.7552083333333335,46.03090277777778,74.74687499999999,1.4484375,1.4083680555555553,0,0,2,0,0,0
2023-11-11,55.630434782608695,98.36574074074073,2.7947916666666663,24.359375,57.290625,1.3616666666666668,0.7452777777777778,1,6,0,0,0,0
2023-11-12,92.79166666666667,148.20833333333331,26.293402777777782,9.245289855072464,48.159375000000004,0.7377083333333333,0.4850724637681159,0,0,0,1,0,1
2023-11-13,234.9659090909091,275.1470588235294,2.842708333333333,16.71840277777778,71.4625,0.7064583333333333,0.5113888888888889,2,7,0,0,0,0
2023-11-14,190.08333333333334,,2.8541666666666665,18.336458333333336,54.8,0.6603125000000001,0.5615277777777777,0,9,0,0,0,0
2023-11-15,128.78125,275.0625,2.7760416666666665,26.077430555555555,45.41875,0.93875,0.7985416666666666,0,0,0,0,0,0
2023-11-16,,,,,24.190625,0.7799999999999999,,12,12,12,12,12,12
