date,pm25,pm10,no2,so2,o3,co,station,lat,lon,split,t2m,blh,u10,v10,sp,tp,msdwswrf,rh,wind_speed,vi
2023-01-10,,,,,,,AIIMS Raipur India,21.256146,81.5788694,train,301.5581996,397.3759424,2.224672939,0.326324334,97065.96622,0.004251775,167.2592485,83.2424745,2.2484788761470367,893.4914123754215
2023-02-10,,,,,,,AIIMS Raipur India,21.256146,81.5788694,train,301.5140346,465.3252469,1.948341825,-1.113798436,97092.35593,0.009132825,150.1723869,82.44464845,2.244233237228336,1044.298385214462
2023-03-10,,,,,,,AIIMS Raipur India,21.256146,81.5788694,train,300.3492763,457.9777973,2.04923018,-1.590334705,97243.33722,0.001769364,76.83817612,78.3920557,2.5939369314904845,1187.9655222191332
2023-05-10,,,,,,,AIIMS Raipur India,21.256146,81.5788694,train,300.8194039,519.4750431,1.990109924,-0.782489818,97354.39308,0.0,253.5532997,65.97932878,2.1384171307013418,1110.8543311368578
2023-06-10,,,,,,,AIIMS Raipur India,21.256146,81.5788694,train,301.3178234,512.6511779,1.247426617,-0.7507325,97344.03795,1.68e-05,238.954071,68.96522282,1.4559094928450445,746.3737164228037
2023-07-10,,,,,,,AIIMS Raipur India,21.256146,81.5788694,train,301.1607725,434.1334798,0.783376324,-0.570973595,97518.58484,0.0,256.8878664,61.51204483,0.9693757327223418,420.83846008042497
2023-08-10,,,,,,,AIIMS Raipur India,21.256146,81.5788694,train,301.6419256,471.317534,0.420843274,0.272048207,97652.17865,0.0,256.3752642,67.44902682,0.5011180381935517,236.18571800430263
2023-09-10,,,,,,,AIIMS Raipur India,21.256146,81.5788694,train,302.1025433,551.0246996,0.610574702,0.362104165,97771.93006,0.0,249.4137739,72.03595605,0.7098738571272617,391.1580288774427
2023-10-10,30.03697916666667,83.7946875,20.311875,9.069895833333334,18.8809375,0.6913541666666667,AIIMS Raipur India,21.256146,81.5788694,train,302.5966274,534.8509655,0.480727613,0.195033454,97785.75711,0.0,235.146871,70.69977125,0.5187842384651329,277.4722508292586
2023-11-10,50.69694444444445,135.59428571428575,44.290729166666665,10.656631944444444,10.604375,0.9809027777777776,AIIMS Raipur India,21.256146,81.5788694,train,302.3290684,550.5466325,0.301607362,0.632108645,97803.33847,0.0,249.8551001,68.87825553,0.7003772839665312,385.59035516727
2023-12-10,34.830000000000005,99.41166666666668,32.545208333333335,4.006145833333334,1.5881249999999982,0.7279166666666667,AIIMS Raipur India,21.256146,81.5788694,train,301.632566,532.5644566,0.508123065,1.261339497,97947.9326,0.0,213.4251096,71.10664309,1.3598405700217977,724.2027542362929
2023-10-13,38.44141304347825,106.18710144927536,21.362743055555555,9.789513888888887,14.890729166666668,0.843298611111111,AIIMS Raipur India,21.256146,81.5788694,train,301.798427,617.4028131,0.05640166,-0.240955252,97994.89172,1.06e-05,189.3052616,72.32734983,0.2474683428585141,152.78765103404194
2023-10-14,32.5503125,95.52986111111112,21.459340277777773,9.220520833333332,14.84625,0.8588194444444444,AIIMS Raipur India,21.256146,81.5788694,train,301.3760574,477.5760394,0.572377586,0.391430029,97954.33953,0.0,215.5200056,70.37271732,0.6934216383688414,331.16155968645035
2023-10-15,29.300520833333334,77.59197916666666,20.278611111111108,8.527847222222222,12.2296875,0.7485069444444444,AIIMS Raipur India,21.256146,81.5788694,train,300.9621893,525.4339254,0.849357356,0.567370428,97809.50125,5.71e-06,212.8836527,71.10898937,1.0214289602122184,536.6934280815464
2023-10-16,25.016319444444445,64.12034722222222,20.48517361111111,9.231944444444444,8.665,0.6513888888888889,AIIMS Raipur India,21.256146,81.5788694,train,301.0935035,511.2812816,-0.063271485,0.309198303,97893.64363,0.0,205.9319049,65.70547797,0.3156055629930895,161.36321672719637
2023-10-17,36.55545454545455,103.2230681818182,24.82511363636364,9.101363636363637,11.0259375,0.7494318181818183,AIIMS Raipur India,21.256146,81.5788694,train,300.5116708,555.7068877,-0.315781395,-0.845695287,97992.45532,0.0,233.3509007,67.4607916,0.9027283134377466,501.6523414991603
2023-10-18,43.70128472222223,123.08288194444444,34.652743055555554,10.979513888888889,9.58375,0.8597916666666667,AIIMS Raipur India,21.256146,81.5788694,train,300.6792387,458.0402721,-0.459069788,-1.229850548,98032.64,9.92e-05,227.3229556,73.49197522,1.3127366227352175,601.2862398732742
2023-10-19,70.53065972222223,152.91863636363635,37.37663194444444,12.697395833333331,8.749375,1.1758680555555554,AIIMS Raipur India,21.256146,81.5788694,train,300.5930615,434.3296935,-0.881530249,-1.374323473,98073.10808,7.87e-05,219.8950125,72.29152353,1.6327463331273426,709.1502144304477
2023-10-20,62.419131944444445,173.1786111111111,37.89295138888889,14.84357638888889,8.479687499999999,1.1375,AIIMS Raipur India,21.256146,81.5788694,train,299.4842627,507.1260038,-1.266803828,-1.247841758,98118.3025,3.67e-06,213.3243562,71.68283974,1.7781734987463915,901.758020482322
2023-10-21,54.08336805555555,135.15521739130435,40.326875,9.9678125,4.66625,1.1879166666666665,AIIMS Raipur India,21.256146,81.5788694,train,298.5949953,539.3061543,-1.065639872,-0.867488924,98165.43337,0.0,242.7995249,64.59970703,1.374090743022037,741.0555942784443
2023-10-23,50.986519607843135,134.234375,48.94122549019608,11.046666666666669,6.493541666666665,0.9456372549019608,AIIMS Raipur India,21.256146,81.5788694,train,297.2517718,519.6434088,-0.537081667,-1.982207444,97941.40145,0.0,241.0079077,65.20194175,2.053680371449392,1067.181468805612
2023-10-24,46.629583333333336,107.185,50.153020833333336,9.382083333333334,5.701562499999999,0.8486458333333333,AIIMS Raipur India,21.256146,81.5788694,train,297.7194082,481.4012203,0.076337944,-0.94709594,97959.8776,0.0,239.2694402,65.20790464,0.9501674595873248,457.4117745346891
