station,date,lat,lon,elevation,doy,pm25,pm10,no2,so2,o3,co,u10,v10,t2m,blh,rh,ventilation_index,lag_PM25_D1,lag_PM25_D2,lag_AOD_D1,lag_NO2_D1,lag_CO_D1,split
AIIMS Raipur India,2023-10-01,21.256146,81.5788694,284.0,274,,,,,,,2.224672939,0.326324334,301.5581996,397.3759424,83.2424745,893.4914123754215,,,,,,train
AIIMS Raipur India,2023-10-02,21.256146,81.5788694,284.0,275,,,,,,,1.948341825,-1.113798436,301.5140346,465.3252469,82.44464845,1044.298385214462,,,0.6762197017669678,4.393336712382734e-05,0.002828284865245223,train
AIIMS Raipur India,2023-10-03,21.256146,81.5788694,284.0,276,,,,,,,2.04923018,-1.590334705,300.3492763,457.9777973,78.3920557,1187.9655222191332,,,0.6527037024497986,7.041495337034576e-06,0.032609425485134125,train
AIIMS Raipur India,2023-10-05,21.256146,81.5788694,284.0,278,,,,,,,1.990109924,-0.782489818,300.8194039,519.4750431,65.97932878,1110.8543311368578,,,,1.7734539142111316e-05,0.0,train
AIIMS Raipur India,2023-10-06,21.256146,81.5788694,284.0,279,,,,,,,1.247426617,-0.7507325,301.3178234,512.6511779,68.96522282,746.3737164228037,,,,4.703307058662176e-05,0.031206980347633362,train
AIIMS Raipur India,2023-10-07,21.256146,81.5788694,284.0,280,,,,,,,0.783376324,-0.570973595,301.1607725,434.1334798,61.51204483,420.83846008042497,,,0.12352725863456726,5.5284031986957416e-05,0.032548390328884125,train
AIIMS Raipur India,2023-10-08,21.256146,81.5788694,284.0,281,,,,,,,0.420843274,0.272048207,301.6419256,471.317534,67.44902682,236.18571800430263,,,0.10419289022684097,6.684109393972903e-05,0.03780842199921608,train
AIIMS Raipur India,2023-10-09,21.256146,81.5788694,284.0,282,,,,,,,0.610574702,0.362104165,302.1025433,551.0246996,72.03595605,391.1580288774427,,,0.12854862213134766,5.038542440161109e-05,0.03657665103673935,train
AIIMS Raipur India,2023-10-10,21.256146,81.5788694,284.0,283,30.03697916666667,83.7946875,20.311875,9.069895833333334,18.8809375,0.6913541666666667,0.480727613,0.195033454,302.5966274,534.8509655,70.69977125,277.4722508292586,,,0.24973899126052856,4.218387766741216e-05,0.03544808551669121,train
AIIMS Raipur India,2023-10-11,21.256146,81.5788694,284.0,284,50.69694444444445,135.59428571428575,44.290729166666665,10.656631944444444,10.604375,0.9809027777777776,0.301607362,0.632108645,302.3290684,550.5466325,68.87825553,385.59035516727,30.03697916666667,,0.35197949409484863,4.6493565605487674e-05,0.014260269701480865,train
