date,station,t2m,blh,u10,v10,sp,tp,msdwswrf,rh
01/10/2023,49,303.5125696,325.9891962,1.798346919,-1.54970108,100031.9282,0,255.8761261,67.60495468
01/10/2023,50,301.6962848,544.7581183,-2.634075048,-1.921711013,99731.66469,0.038586108,96.45159382,89.47282999
01/10/2023,51,301.8010193,381.3611503,0.545665456,-1.849616307,98590.45178,0,237.6980444,67.75550953
01/10/2023,52,301.000502,407.5180562,0.87619647,-2.357547477,98126.31472,0,242.5484582,58.61097688
01/10/2023,53,300.6831641,409.6866979,1.240532926,-2.048870632,97895.31491,0,238.7697329,62.04621279
01/10/2023,54,301.2218759,659.8965033,-1.201080254,-1.298915216,96031.70541,0,253.4161595,46.71262366
01/10/2023,55,301.2815637,500.7119348,0.753769512,-2.566521124,97982.5227,0,245.7523774,53.02420165
01/10/2023,56,301.1018834,457.027227,0.907435272,-2.392295635,98049.42952,0,242.7738921,56.68929046
01/10/2023,57,300.9198354,557.6457378,-0.770323576,-1.81438741,96116.23132,0,254.3524171,49.88246228
01/10/2023,58,301.6488809,402.6000203,0.330834928,-1.013115891,97172.94515,0,256.3900433,60.6362843
01/10/2023,59,300.3344498,492.184787,0.224734657,-2.223099059,95120.34734,0,254.4336289,68.16429857
01/10/2023,60,303.2705255,298.5098263,-0.04122208,-0.144063674,99067.43423,0.000933536,200.6112652,76.93485012
01/10/2023,61,301.3392817,516.2577151,0.74073757,-2.586070613,97975.08535,0,245.9199067,52.37906909
01/10/2023,62,301.2677352,409.2675835,-2.278682424,2.292315582,100187.6577,0.012646729,93.6648698,90.26673309
01/10/2023,63,299.3116327,525.1241108,3.134572314,1.237265987,94296.38646,0.00098622,200.7529639,79.65110042
01/10/2023,64,301.5581996,397.3759424,2.224672939,0.326324334,97065.96622,0.004251775,167.2592485,83.2424745
01/10/2023,65,297.3588211,916.267742,4.913015285,1.754437245,91410.77151,0.000982895,162.5590715,77.10759333
01/10/2023,66,299.3145156,508.0043564,2.835409095,1.225150513,94328.46243,0.001002486,199.1717492,80.00519668
01/10/2023,67,300.4840113,550.2713622,0.065283388,-2.657622769,94840.15313,0,257.2717398,56.74978747
01/10/2023,68,302.0891587,412.6371259,0.946863924,-1.402718369,97958.8381,0,238.4265732,68.41421964
01/10/2023,69,300.519263,490.0882988,-0.058892424,-2.061957297,94930.42123,1.06E-05,239.9068569,70.05908913
01/10/2023,70,297.6266059,883.012018,5.330245219,2.160780926,94148.7282,0.00172958,190.5790927,82.02261772
01/10/2023,71,300.2072665,430.3963123,0.345540948,-0.130498779,94119.07238,0,256.116141,56.71874382
01/10/2023,72,302.072754,620.0325646,-3.571034977,-0.084560082,99871.42394,0.004012811,151.0151234,85.64542501
01/10/2023,73,297.9910756,327.1433724,0.16282434,-0.2086887,91717.09262,0.000782647,220.6309943,80.97965969
01/10/2023,74,300.5751372,484.467795,0.639212508,-2.516260554,98073.0302,0,247.0219842,57.74522363
01/10/2023,75,302.0302475,356.8000641,0.392971798,-0.577956487,97612.57656,0.000111542,212.1902611,76.59130827
01/10/2023,76,297.2610574,879.3293315,4.646191308,2.021309693,92586.75523,0.001687171,186.4124907,80.76825107
01/10/2023,77,301.8266701,548.4534172,-2.675239552,-1.859755113,99763.27773,0.038368591,96.94911627,88.95004561
01/10/2023,78,302.3340406,546.3050145,-3.68607284,-0.499219798,99796.2649,0.006364772,172.4255212,84.53683983
01/10/2023,79,300.2893078,541.20181,-0.217337922,-2.4137992,94999.96954,0,258.8249161,59.07857948
01/10/2023,80,302.0891587,412.6371259,0.946863924,-1.402718369,97958.8381,0,238.4265732,68.41421964
01/10/2023,81,302.072754,620.0325646,-3.571034977,-0.084560082,99871.42394,0.004012811,151.0151234,85.64542501
01/10/2023,82,301.7965201,414.9046571,-0.130351026,-1.124616359,97445.43972,0,254.7670089,63.08050521
01/10/2023,83,301.7584978,430.5927667,0.194049144,-1.055400864,97311.22571,0,256.215851,57.37687044
01/10/2023,84,300.9853319,454.5743539,1.075519619,-1.390207942,97603.37907,2.55E-05,233.6871298,66.65984725
01/10/2023,85,299.7262355,414.270979,0.558945493,-2.458458668,98025.11532,0,246.8190726,63.98807037
01/10/2023,86,301.034748,501.3170402,-0.473901789,0.15395637,96030.90144,0,256.6859906,55.93772719
01/10/2023,87,300.8608556,550.8833901,1.231591724,-2.248154321,96207.79834,0.009229615,180.9357261,82.49870699
01/10/2023,88,299.3034509,302.0651932,1.610016564,-0.974162086,97735.86925,0,238.5796893,72.5741563
01/10/2023,89,302.916209,685.9622217,2.355972673,4.960932904,100582.2084,5.69E-05,235.7271389,75.42242949
